Актив,TF,ROC-AUC,Sh maker,BH,test
BNB,1m,0.5111,-1.0,0.96,394498
BNB,15m,0.5186,-0.85,0.94,26242
BNB,30m,0.5071,-0.04,0.96,13090
BNB,1h,0.5338,-0.22,0.94,6514
BTC,1s,0.5595,-852.42,2.93,2760420
BTC,5s,0.5882,-312.34,2.57,552036
BTC,15s,0.5818,-100.77,2.45,183972
BTC,30s,0.5643,-26.53,2.36,91956
BTC,1m,0.5191,-12.9,0.63,394498
BTC,15m,0.5217,0.33,0.54,26242
BTC,30m,0.5132,0.99,0.6,13090
BTC,1h,0.5264,0.86,0.51,6514
ETH,1m,0.518,-15.3,0.39,394498
ETH,15m,0.5265,-0.61,0.35,26242
ETH,30m,0.5067,-1.69,0.4,13090
ETH,1h,0.5256,-0.7,0.33,6514
SOL,1m,0.5083,0.12,0.14,394498
SOL,15m,0.5252,-0.2,0.08,26242
SOL,30m,0.5225,0.18,0.14,13090
SOL,1h,0.509,-0.2,0.0,6514
XRP,1m,0.5104,0.41,0.49,394498
XRP,15m,0.5288,1.28,0.44,26242
XRP,30m,0.5191,1.42,0.43,13090
XRP,1h,0.5306,0.09,0.27,6514
