Актив,TF,ROC-AUC,Sh maker,BH,train_bars,test,t_resample,t_train,RAM
BTC,1s,0.5733,-824.45,1.68,60655299,12997505,16.4,291.1,21.08
BTC,5s,0.5903,-319.62,1.44,12131613,2599572,9.6,105.7,21.08
BTC,15s,0.5776,-67.57,1.34,4043870,866484,6.7,92.9,21.08
BTC,30s,0.5576,-39.99,1.29,2021935,433212,6.3,47.1,21.08
ETH,1s,0.6179,-449.4,3.5,60655299,12997505,20.2,294.6,21.82
ETH,5s,0.5642,-105.97,3.19,12131613,2599572,9.1,115.6,21.82
ETH,15s,0.5312,-17.44,3.06,4043870,866484,6.5,94.7,21.82
ETH,30s,0.5158,-26.87,3.01,2021935,433212,6.3,48.1,21.82
BNB,1s,0.6003,-13.25,3.8,60655299,12997505,17.7,291.4,21.06
BNB,5s,0.5703,-18.43,3.39,12131613,2599572,9.1,111.7,21.06
BNB,15s,0.5449,-12.26,3.2,4043870,866484,6.3,41.5,21.06
BNB,30s,0.5294,-4.92,3.11,2021935,433212,4.4,37.3,21.06
SOL,1s,0.6039,-293.85,1.31,60655306,12997506,18.0,286.9,21.46
SOL,5s,0.556,-10.14,1.22,12131613,2599572,7.9,115.2,21.46
SOL,15s,0.5292,-1.19,1.18,4043871,866484,6.4,98.0,21.46
SOL,30s,0.5154,0.57,1.15,2021935,433212,6.0,49.9,21.46
XRP,1s,0.604,1.07,1.07,60655305,12997506,18.4,119.6,21.18
XRP,5s,0.5486,0.98,0.98,12131613,2599572,8.8,46.9,21.18
XRP,15s,0.5328,0.95,0.95,4043871,866484,6.3,36.3,21.18
XRP,30s,0.5126,0.93,0.93,2021935,433212,6.0,18.8,21.18
