Актив,TF,ROC-AUC,Sh maker,BH,test
BTC,1s,0.5721,-583.1,0.02,3525060
BTC,5s,0.5917,-349.69,0.06,704964
BTC,15s,0.582,-54.4,0.08,234948
BTC,30s,0.5619,-34.8,0.07,117444
ETH,1s,0.5988,-6.4,-0.74,3525060
ETH,5s,0.5684,-211.09,-0.62,704964
ETH,15s,0.5358,-155.94,-0.56,234948
ETH,30s,0.5158,1.81,-0.58,117444
BNB,1s,0.585,-2.33,3.9,3525060
BNB,5s,0.5725,-183.08,3.57,704964
BNB,15s,0.5475,-84.14,3.39,234948
BNB,30s,0.5221,-39.36,3.36,117444
SOL,1s,0.5717,1.43,1.43,3525060
SOL,5s,0.5519,-48.94,1.38,704964
SOL,15s,0.5267,-18.65,1.4,234948
SOL,30s,0.5142,-16.54,1.38,117444
XRP,1s,0.5964,-9.53,-0.64,3525060
XRP,5s,0.5624,-127.69,-0.53,704964
XRP,15s,0.5356,-33.18,-0.48,234948
XRP,30s,0.5165,-15.17,-0.47,117444
