Актив,TF,ROC-AUC,Sh maker,BH,train_bars,test,t_resample,t_train,RAM
BTC,1s,0.5762,-685.73,0.02,16450559,3525060,4.5,461.4,16.75
BTC,5s,0.5921,-394.31,0.06,3290111,704964,2.1,90.8,16.75
BTC,15s,0.582,-61.16,0.08,1096703,234948,1.7,27.8,16.75
BTC,30s,0.5617,-31.94,0.07,548351,117444,1.6,14.8,16.75
ETH,1s,0.6148,-521.49,-0.74,16450559,3525060,4.6,346.9,16.75
ETH,5s,0.5735,-156.64,-0.62,3290111,704964,2.2,91.2,16.75
ETH,15s,0.5364,-90.71,-0.56,1096703,234948,1.7,27.8,16.75
ETH,30s,0.5146,-0.35,-0.58,548351,117444,1.6,5.6,16.75
BNB,1s,0.615,-988.49,3.9,16450559,3525060,4.2,461.0,16.75
BNB,5s,0.5853,-247.67,3.57,3290111,704964,2.1,68.9,16.75
BNB,15s,0.5476,-125.65,3.39,1096703,234948,1.6,22.6,16.75
BNB,30s,0.5184,-2.4,3.36,548351,117444,1.6,5.6,16.75
SOL,1s,0.5978,-625.36,1.43,16450559,3525060,4.6,461.1,16.75
SOL,5s,0.5541,-118.6,1.38,3290111,704964,2.3,91.4,16.75
SOL,15s,0.5261,-11.19,1.4,1096703,234948,1.6,22.4,16.75
SOL,30s,0.5133,-13.71,1.38,548351,117444,1.5,10.5,16.75
XRP,1s,0.6199,-757.18,-0.64,16450559,3525060,3.6,462.4,16.65
XRP,5s,0.565,-76.37,-0.53,3290111,704964,2.8,91.3,16.65
XRP,15s,0.5336,-14.26,-0.48,1096703,234948,1.6,25.2,16.65
XRP,30s,0.5134,-7.94,-0.47,548351,117444,1.6,10.5,16.65
