Модель,min_hold,7bps,1bps(maker),0bps,сделок
SimpleLSTM,15,-36.658,-2.995,2.932,11625
SimpleLSTM,60,-13.141,1.242,3.683,5229
SimpleLSTM,240,-4.17,-0.318,0.327,1542
1D CNN,15,-33.752,-2.702,2.665,14435
1D CNN,60,-12.585,0.326,2.511,5470
1D CNN,240,-4.18,-0.358,0.282,1560
Transformer,15,-12.888,0.105,2.309,4760
Transformer,60,-6.854,-0.243,0.869,2466
Transformer,240,-2.586,0.132,0.586,1060
RandomForest,15,-44.177,-4.002,3.251,11593
RandomForest,60,-16.064,-1.633,0.83,4781
RandomForest,240,-3.613,0.393,1.064,1499
Ensemble,15,-37.937,-2.732,3.481,12331
Ensemble,60,-14.05,-0.081,2.291,5136
Ensemble,240,-2.938,1.044,1.711,1546
Buy & Hold,-,0.632,0.632,0.632,1
